Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
M&A,2018-04-04,Rosa Mexicano Co,Trispan Rising Stars LP,Goode Partners LLC,,Cash, ,Completed
INV,2018-07-11,Bluestone Lane Roasting LLC,RSE Ventures LLC,,,Cash, ,Completed
INV,2019-04-10,Dig Inn Restaurant Group LLC,Enlightened Hospitality Investments Management LLC,,15.0,Cash, ,Completed
INV,2021-10-27,Dig Inn Restaurant Group LLC,"Eminence Capital LP,Monogram Capital Partners LLC,Inherent Group LP,Kitchen Ventures LLC (Fund: Kitchen Fund II LP),Avalt,Union Square Hospitality Group LLC (Fund: Enlightened Hospitality Investments II LP)",,65.0,Cash, ,Completed
INV,2021-12-09,Tacombi,"Private Investor,Union Square Hospitality Group LLC (Fund: Enlightened Hospitality Investments LP),RODINAUSA Inc",,27.5,Cash, ,Completed
INV,2022-05-19,Sweet Chick Life Inc,"DOS Toros Holdings LLC,Founders Table Restaurant Group",,,Cash, ,Completed
INV,2022-10-20,Chip City Cookies,Union Square Hospitality Group LLC,,10.0,Cash, ,Completed
M&A,2023-05-26,JOE & The Juice A/S,Potential Buyer,"General Atlantic LP,Valedo Partners,Unknown Seller",,Cash, ,Withdrawn
M&A,2023-11-13,JOE & The Juice Holding A/S,General Atlantic LP,Valedo Partners,,Cash, ,Completed
INV,2024-05-09,Chip City Cookies,Union Square Hospitality Group LLC,,7.5,Cash, ,Completed
INV,2026-04-16,JOE & The Juice Holding A/S,Emirates International Investment Co LLC,General Atlantic LP,,Cash, ,Completed
