restaurant_group,investor,deal_type,deal_date,deal_amount,verified,source_url,notes
Sant Ambroeus / SA Hospitality Group,Three Hills Capital Partners,Growth investment,2020-09-25,$35M,Confirmed,https://www.threehills.com/three-hills-capital-partners-announces-its-first-north-american-investment-in-leading-italian-fine-dining-restaurant-sant-ambroeus-hospitality-group/,Mix of preferred capital and equity; Three Hills Capital Solutions III fund; first North American investment for Three Hills
Naya Group,TriSpan,Majority stake,2020-10-30,Not disclosed,Confirmed,https://www.trispanllp.com/portfolio/naya/,TriSpan Rising Stars platform; original deal amount never disclosed
Naya Group,Pacific General Equity Partners,Continuation vehicle,2025-07-01,Not disclosed,Confirmed,https://www.qsrmagazine.com/news/trispan-and-new-investors-fuel-nayas-national-expansion-with-landmark-transaction/,Lead investor in 2025 continuation vehicle; existing investors got liquidity; funds ongoing expansion
Naya Group,Kline Hill Partners,Continuation vehicle,2025-07-01,Not disclosed,Confirmed,https://www.goodwinlaw.com/en/news-and-events/news/2025/07/announcements-practices-sec-goodwin-advises-trispan-naya-continuation,Co-lead in 2025 continuation vehicle alongside Pacific General
Tao Group Hospitality,Mohari Hospitality,Acquisition,2023-05-03,$550M,Confirmed,https://www.prnewswire.com/news-releases/mohari-hospitality-finalizes-acquisition-of-tao-group-hospitality-301814871.html,Mohari acquired 66.9% stake from MSG Entertainment; MSG sold to fund Sphere Las Vegas construction
Tao Group Hospitality,Monarch Alternative Capital,Debt financing,2023-04-17,Not disclosed,Confirmed,https://www.prnewswire.com/news-releases/monarch-alternative-capital-expands-hospitality-portfolio-through-loan-purchases-301812418.html,Led debt financing for Mohari acquisition; amount not disclosed
Founders Table (Chopt + Dos Toros),L Catterton,Acquisition,2020-01-23,Not disclosed,Confirmed,https://www.nrn.com/mergers-acquisitions/chopt-creative-salad-co-to-buy-dos-toros-taqueria-in-deal-financed-by-l-catterton,Backed Chopt acquisition of Dos Toros; formation of Founders Table holding company
Founders Table (Chopt + Dos Toros),Constitution Capital,Acquisition (co-investor),2020-01-23,Not disclosed,Confirmed,https://concp.com/wp-content/uploads/2020/01/2019.1.22-chopt-Final.pdf,Co-invested alongside L Catterton in Jan 2020 deal
Founders Table (Chopt + Dos Toros),Pendulum,Growth investment,2022-02-01,Not disclosed,Confirmed,https://www.prnewswire.com/news-releases/pendulum-invests-in-founders-table-restaurant-group-and-co-founder-and-ceo-robbie-robinson-joins-the-board-of-directors-301472630.html,Second round; Robbie Robinson (Pendulum co-founder) joined board
Rosa Mexicano,TriSpan,Acquisition,2018-03-01,Not disclosed,Confirmed,https://www.trispanllp.com/portfolio/,TriSpan Rising Stars platform; original NYC location founded 1984; multiple NYC locations
Maman,TriSpan,Acquisition,2020-12-01,Not disclosed,Confirmed,https://www.trispanllp.com/portfolio/,Multiple NYC locations including 44th St and 55th/Madison; 37+ total US/Canada locations
Maman,TriSpan,Majority stake (~50%),2020-12-01,Not disclosed,Confirmed,https://www.trispanllp.com/portfolio/maman/,Looks like artisanal French café; founders still involved; 4+ NYC locations; 37+ total US/Canada
Rosa Mexicano,TriSpan,Acquisition,2018-03-01,Not disclosed,Confirmed,https://www.trispanllp.com/portfolio/rosa_mexicano/,NYC-founded 1984; multiple NYC locations; acquired from Goode Partners
Chopt Creative Salad Co.,L Catterton,Majority stake,2020-01-23,Not disclosed,Confirmed,https://www.nrn.com/mergers-acquisitions/chopt-creative-salad-co-to-buy-dos-toros-taqueria-in-deal-financed-by-l-catterton,Multiple NYC locations; looks healthy/local; NYC-founded 2001
Dos Toros Taqueria,L Catterton,Acquisition (via Founders Table),2020-01-23,Not disclosed,Confirmed,https://www.nrn.com/mergers-acquisitions/chopt-creative-salad-co-to-buy-dos-toros-taqueria-in-deal-financed-by-l-catterton,18+ NYC locations; NYC-founded 2009 by brothers; looks independent/authentic
Hakkasan,Mohari Hospitality,Acquisition (via Tao Group),2021-01-01,Not disclosed,Confirmed,https://taogroup.com/,Michelin-starred Chinese; multiple NYC locations; part of Tao Group acquired by Mohari 2023
Beauty & Essex,Mohari Hospitality,Acquisition (via Tao Group),2021-01-01,Not disclosed,Confirmed,https://taogroup.com/,Lower East Side NYC; restaurant/lounge/pawn shop concept; part of Tao Group
Dishoom,L Catterton,Growth investment,2025-08-01,Not disclosed (est. $400M valuation),Confirmed,https://www.timeout.com/newyork/news/dishoom-londons-insanely-popular-indian-restaurant-is-officially-coming-to-new-york-city-080725,London institution; first NYC location opening Lower Manhattan 2026; first external PE investment for Dishoom
Sant Ambroeus,Three Hills Capital Partners,Growth investment,2020-09-25,$35M,Confirmed,https://www.threehills.com/portfolio/sa-hospitality-group/,4 NYC locations; looks neighborhood Italian; NYC-rooted since 1982
Casa Lever,Three Hills Capital Partners,Growth investment (via SA Hospitality),2020-09-25,$35M,Confirmed,https://www.threehills.com/portfolio/sa-hospitality-group/,Park Ave Midtown; upscale Italian; part of SA Hospitality Group
Felice,Three Hills Capital Partners,Growth investment (via SA Hospitality),2020-09-25,$35M,Confirmed,https://www.threehills.com/portfolio/sa-hospitality-group/,Columbus Ave Upper West Side NYC location; Tuscan dining; part of SA Hospitality Group
Dig / Dig Inn,Multiple (EHI lead + Eminence Capital + Monogram Capital + others),Growth investment (second round),2021-10-27,$65M,Confirmed (Bloomberg),https://efts.sec.gov/,Second and larger round; EHI participated alongside institutional co-investors; total EHI investment in Dig: $15M (2019) + part of $65M (2021)
Sweet Chick,DOS Toros Holdings LLC / Founders Table Restaurant Group,Growth investment,2022-05-19,Not disclosed,Confirmed (Bloomberg),,NYC-founded fried chicken concept; invested in by L Catterton-backed Founders Table; indirect PE exposure
Major Food Group,Unknown,Unknown,,Not disclosed,Unverified,,Bloomberg shows no PE deal on record as target; PDF in Sources folder unconfirmed
NOBU,Unknown,Unknown,,Not disclosed,Unverified,,PDF in Sources folder - PE backer not yet confirmed
Cipriani,Unknown,Unknown,,Not disclosed,Unverified,,PDF in Sources folder - likely family-owned; confirm
EMMI,Unknown,Unknown,,Not disclosed,Unverified,,PDF in Sources folder - PE backer not yet confirmed
Joe & the Juice,General Atlantic,Majority acquisition,2023-11-01,$641M,Confirmed,https://www.generalatlantic.com/media-article/general-atlantic-to-acquire-majority-stake-in-joe-the-juice/,General Atlantic acquired majority stake; 32 NYC locations
Chip City,EHI / Danny Meyer,Growth investment,2022-10-01,$10M,Confirmed,https://www.finsmes.com/2022/10/chip-city-cookies-receives-10m-from-enlightened-hospitality-investments.html,Series A; EHI first investment in cookie/bakery concept
Chip City,EHI / Danny Meyer,Growth investment,2024-05-01,$7.5M,Confirmed,https://www.prnewswire.com/news-releases/chip-city-cookies-announces-series-b-capital-raise-from-enlightened-hospitality-investments-ehi-302139850.html,Series B; continued brick-and-mortar expansion; 19 NYC DOH locations confirmed
